ID,Company,Location,Sector,Designation,Job Description,Salary
16,TenTenTen Digital Products Private Limited,"Bengaluru Area, India","Marketing and Advertising, Computer Software",Python Developers with MySql Experience,Looking for a Senior Software Engineer with 3+ years of experience in Python and Linux to build large scale web and mobile products.  Technical Skills that you ABSOLUTELY MUST have:  - Python  - Experience working on ANY web framework  - Stored Procedures and Complex Queries on MySQL or PostgreSQL  - Webservers (nginx/uwsgi or Apache)  - Optimizing for high traffic/high availability platforms...,No salary provided
17,Creative Factor Integrated Marketing Pvt. Ltd.,"Bengaluru Area, India",Marketing and Advertising,Online Content Developer / Lead - Fashion & Lifestyle,"Create, develop and manage content for client’s web and social presence Expand the presence on Social media platforms and improve the quality of content shared Coordinate on client’s online projects  Maintain a consistent look and feel throughout all online assets and properties Working with a cross-departmental team, maintain and develop the master content calendar for all online properties of cl...",No salary provided
18,Lakshya Recruitment Solutions Private Limited,"Bengaluru Area, India",Outsourcing/Offshoring,R2R Delivery,This is an opening with one of the Topmost ITES [BIG 6] organization. Location : Bangalore   Roles and Responsibilities   Financial Reporting Responsible for service delivery of the areas assigned Responsible for alignment of processes within the Domain. Strategic planning and growth of the Domain. Act as a focal between the Local Management and the Business Partners. Ensure that the process of MO...,No salary provided
19,Creative Factor Integrated Marketing Pvt. Ltd.,"Bengaluru Area, India",Marketing and Advertising,Online Content Developer / Lead - Fashion & Lifestyle,"Create, develop and manage content for client’s web and social presence Expand the presence on Social media platforms and improve the quality of content shared Coordinate on client’s online projects  Maintain a consistent look and feel throughout all online assets and properties Working with a cross-departmental team, maintain and develop the master content calendar for all online properties of cl...",No salary provided
20,ZapStitch,"Bengaluru Area, India","Information Technology and Services, Computer Software",Customer Success Associate,"The Opportunity: Do you love helping and working with Customers all day along? Do you take Pride if customers realized the value of a product because of you? Do you enjoy being a Product Specialist and act as a bridge between our customers and our product and engineering teams? If so, this is a good opportunity to check out. As a Customer Success Associate, you are responsible to help and educate...",No salary provided
21,Lakshya Recruitment Solutions Private Limited,"Bengaluru Area, India",Outsourcing/Offshoring,R2R Delivery,This is an opening with one of the Topmost ITES [BIG 6] organization. Location : Bangalore   Roles and Responsibilities   Financial Reporting Responsible for service delivery of the areas assigned Responsible for alignment of processes within the Domain. Strategic planning and growth of the Domain. Act as a focal between the Local Management and the Business Partners. Ensure that the process of MO...,No salary provided
22,ZapStitch,"Bengaluru Area, India","Information Technology and Services, Computer Software",Customer Success Associate,"The Opportunity: Do you love helping and working with Customers all day along? Do you take Pride if customers realized the value of a product because of you? Do you enjoy being a Product Specialist and act as a bridge between our customers and our product and engineering teams? If so, this is a good opportunity to check out. As a Customer Success Associate, you are responsible to help and educate...",No salary provided
23,The Better India,"Bengaluru Area, India",Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",No salary provided
24,Zephyr,"Bengaluru Area, India",Information Technology and Services,Technical Support Engineer (India),"Point of Contact for CVs / Email ID:Rakshitha - rakshitha@multirecruit.com - 7760432586. Job Title / Designation: Technical Support Engineer (India) Job Description: As Zephyrs Technical Support Engineer, you will use your support and technical background to enable customer success using Zephyrs Test Management solutions. You will provide advanced technical support to customers by solving technica...",No salary provided
25,HousingMan,"Bengaluru Area, India",Internet,Content Writer,Develop Content Strategy for the organisation. Develop Social Media Strategy to ensure active representation on all key Social Media Platform and engage with influencers group there. Develop blogs and content suitable for the website.  Develop and implement engagement marketing techniques for the product.  Coordinate with the design team/agency to ensure that the key messaging elements are aligned...,No salary provided
26,Wisden India,"Bengaluru Area, India","Internet, Publishing",Web Developer,"Job Title:  Web Developer / Junior Web Developer Reporting to: Project Manager, Bangalore Context: Wisden India believes that there's still a place for intelligent writing. Ours is a combination of reportage and analysis, concise and hard-hitting. But fine writing is but one part of the package. We are excited by new media, and will be using it extensively, driven by Wisden's brand values. There w...",No salary provided
27,QYK,"Bengaluru Area, India",Internet,Associate HR Generalist,"HR Manager will be responsible for maintaining and enhancing the organization's human resources by planning, implementing, and evaluating employee relations and human resources policies, programs, and practices.   Key job responsibilities include, but are not limited to,   Recruitment Scout, acquire and retain talent appropriate for current vacancies Identify and leverage innovative channels for r...",No salary provided
28,The Better India,"Bengaluru Area, India",Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",No salary provided
29,Zephyr,"Bengaluru Area, India",Information Technology and Services,Technical Support Engineer (India),"Point of Contact for CVs / Email ID:Rakshitha - rakshitha@multirecruit.com - 7760432586. Job Title / Designation: Technical Support Engineer (India) Job Description: As Zephyrs Technical Support Engineer, you will use your support and technical background to enable customer success using Zephyrs Test Management solutions. You will provide advanced technical support to customers by solving technica...",No salary provided
30,HousingMan,"Bengaluru Area, India",Internet,Content Writer,Develop Content Strategy for the organisation. Develop Social Media Strategy to ensure active representation on all key Social Media Platform and engage with influencers group there. Develop blogs and content suitable for the website.  Develop and implement engagement marketing techniques for the product.  Coordinate with the design team/agency to ensure that the key messaging elements are aligned...,No salary provided
31,Wisden India,"Bengaluru Area, India","Internet, Publishing",Web Developer,"Job Title:  Web Developer / Junior Web Developer Reporting to: Project Manager, Bangalore Context: Wisden India believes that there's still a place for intelligent writing. Ours is a combination of reportage and analysis, concise and hard-hitting. But fine writing is but one part of the package. We are excited by new media, and will be using it extensively, driven by Wisden's brand values. There w...",No salary provided
32,QYK,"Bengaluru Area, India",Internet,Associate HR Generalist,"HR Manager will be responsible for maintaining and enhancing the organization's human resources by planning, implementing, and evaluating employee relations and human resources policies, programs, and practices.   Key job responsibilities include, but are not limited to,   Recruitment Scout, acquire and retain talent appropriate for current vacancies Identify and leverage innovative channels for r...",No salary provided
33,Nestopia,"Bengaluru Area, India",Architecture & Planning,Android Developer,"Design and build advanced applications for the Android platform Collaborate with cross-functional teams to define, design and ship new features. Work with outside data sources and API's Unit-test code for robustness, usability, and general reliability. Be able to communicate clearly, keeping stakeholders informed of progress, keeping to schedules and deadlines Enhancement and improvement of applic...",No salary provided
34,Thinqbot Technologies,"Bengaluru Area, India","Electrical/Electronic Manufacturing, Consumer Electronics",Hardware Design Engineer,"3+ years experience as a Hardware Design Engineer with experience in embedded processors, power-management, power control , low power sensors , energy metering and RF design .   Bachelors/Masters degree in Electrical / Electronics Engineering .    Candidate Experience – 3 yrs to 12 Yrs CTC Offer – 5.5 LPA to 15 LPA...",No salary provided
35,Unplugged India,"Bengaluru Area, India",Marketing and Advertising,"1.Power Point Specialist ,2. Copy/Content Writers","For Power Point Specialist. Transform generic, text-heavy presentations into more graphically engaging, concise, and interactive experiences Create chart work, line art, etc. Develop graphic elements to be used in client presentations Compose layouts using Adobe InDesign, Illustrator, and Photoshop for: Flow/org charts Convert current text heavy presentations to more concise, graphically rich pres...",No salary provided
36,HireAtEase Consulting Private Limited,"Bengaluru Area, India","Computer Software, Information Technology and Services",Delivery Head Advanced Analytics (Retail / CPG),Client - Leading Analytcis Service Provider Role: Delivery Head  Location: Bangalore This is an opportunity to be part of a growing Advanced Analytics practice to delivery End-to-End Advanced Analytics solutions to global customers in Retail /CPG domain. JD for Delivery Head: Key responsibilities will include: Provide leadership and manage the delivery organization for overall account portfolio. W...,Competitive
37,Nestopia,"Bengaluru Area, India",Architecture & Planning,Android Developer,"Design and build advanced applications for the Android platform Collaborate with cross-functional teams to define, design and ship new features. Work with outside data sources and API's Unit-test code for robustness, usability, and general reliability. Be able to communicate clearly, keeping stakeholders informed of progress, keeping to schedules and deadlines Enhancement and improvement of applic...",No salary provided
38,Thinqbot Technologies,"Bengaluru Area, India","Electrical/Electronic Manufacturing, Consumer Electronics",Hardware Design Engineer,"3+ years experience as a Hardware Design Engineer with experience in embedded processors, power-management, power control , low power sensors , energy metering and RF design .   Bachelors/Masters degree in Electrical / Electronics Engineering .    Candidate Experience – 3 yrs to 12 Yrs CTC Offer – 5.5 LPA to 15 LPA...",No salary provided
39,Unplugged India,"Bengaluru Area, India",Marketing and Advertising,"1.Power Point Specialist ,2. Copy/Content Writers","For Power Point Specialist. Transform generic, text-heavy presentations into more graphically engaging, concise, and interactive experiences Create chart work, line art, etc. Develop graphic elements to be used in client presentations Compose layouts using Adobe InDesign, Illustrator, and Photoshop for: Flow/org charts Convert current text heavy presentations to more concise, graphically rich pres...",No salary provided
40,HireAtEase Consulting Private Limited,"Bengaluru Area, India","Computer Software, Information Technology and Services",Delivery Head Advanced Analytics (Retail / CPG),Client - Leading Analytcis Service Provider Role: Delivery Head  Location: Bangalore This is an opportunity to be part of a growing Advanced Analytics practice to delivery End-to-End Advanced Analytics solutions to global customers in Retail /CPG domain. JD for Delivery Head: Key responsibilities will include: Provide leadership and manage the delivery organization for overall account portfolio. W...,Competitive
41,"CISMA consultants Pvt Ltd (A wholly owned subsidiary of Verikwest Systems Inc, USA)","Bengaluru Area, India",Computer Hardware,Software Engineer,We are currently engaged in several development/training projects with large semiconductor houses and Design Automation Software companies. We are looking for senior Software engineers for our clients in Bangalore.  The areas where we are growing: -          Web based automation for EDA flows -          System Infrastructure tools and methodology (regression automation) -          EDA development...,No salary provided
42,ParaBlu Systems,"Bengaluru Area, India",Information Technology and Services,Technical Writer (Part-time / Freelancer),"Essential Job Responsibilities  Conceptualize, plan, develop and write documentation sets, including complex technical material, with limited or no supervision.  Identify, plan for, and revise technical writing project requirements, and research complex source material for documentation projects.  Install, use, understand and internalize the product throughly  Collaborate with cross-functional tea...",No salary provided
43,Stratifix Consulting Services Pvt Ltd,"Bengaluru Area, India",Information Technology and Services,Product Implementation Engineer- ITIL Tools,"FOR THE ROLE OF Prod Implementation Engineer at Bangalore, Delhi and Mumbai A technical role, focused on implementing and supporting ITIL Web Application Suite and database components This role requires expertise in ITIL/ITSM based tools such as REMEDY/ KASAYA/ Manageengine Requires knowledge and considerable hands on experience in dealing with databases on SQL To act as 1st and 2nd line support i...",No salary provided
44,Tipstat Infotech Pvt. Ltd.,"Bengaluru Area, India",Information Technology and Services,Software Engineer,As a Software Engineer You will be developing large scale web applications. Leading the team. Have ability to learn and implement new technologies in a short timeframe. Take part in major technology discussions....,No salary provided
45,"CISMA consultants Pvt Ltd (A wholly owned subsidiary of Verikwest Systems Inc, USA)","Bengaluru Area, India",Computer Hardware,Software Engineer,We are currently engaged in several development/training projects with large semiconductor houses and Design Automation Software companies. We are looking for senior Software engineers for our clients in Bangalore.  The areas where we are growing: -          Web based automation for EDA flows -          System Infrastructure tools and methodology (regression automation) -          EDA development...,No salary provided
46,ParaBlu Systems,"Bengaluru Area, India",Information Technology and Services,Technical Writer (Part-time / Freelancer),"Essential Job Responsibilities  Conceptualize, plan, develop and write documentation sets, including complex technical material, with limited or no supervision.  Identify, plan for, and revise technical writing project requirements, and research complex source material for documentation projects.  Install, use, understand and internalize the product throughly  Collaborate with cross-functional tea...",No salary provided
47,Stratifix Consulting Services Pvt Ltd,"Bengaluru Area, India",Information Technology and Services,Product Implementation Engineer- ITIL Tools,"FOR THE ROLE OF Prod Implementation Engineer at Bangalore, Delhi and Mumbai A technical role, focused on implementing and supporting ITIL Web Application Suite and database components This role requires expertise in ITIL/ITSM based tools such as REMEDY/ KASAYA/ Manageengine Requires knowledge and considerable hands on experience in dealing with databases on SQL To act as 1st and 2nd line support i...",No salary provided
48,Tipstat Infotech Pvt. Ltd.,"Bengaluru Area, India",Information Technology and Services,Software Engineer,As a Software Engineer You will be developing large scale web applications. Leading the team. Have ability to learn and implement new technologies in a short timeframe. Take part in major technology discussions....,No salary provided
49,Theron International,"Bengaluru Area, India",Information Technology and Services,Principle Engineer / Senior Technical Architect – Product Engineering & Innovation,"You are a talented, energetic, and creative Principal Software Engineer with proven architecture, design, implementation and technology leadership skills in web based enterprise grade, high availability and high scalability applications. This highly technical leader will be responsible for the architecture and development of key functional areas of Applications, to ensure the system effectively de...",No salary provided
50,SingleContact,"Bengaluru Area, India",Internet,Web Designer,"SingleContactapp.com is a free website creation software. Our web-based software enables businesses to establish online presence easily and quickly. Currently, SingleContact is hiring a website designer/developer. Below are more details: Principal Responsibilities: Creates new website and webpage designs, with a focus on best in class design. Maintains and modifies existing website designs. Assume...",No salary provided
51,Prayag Consulting,"Bengaluru Area, India","Marketing and Advertising, Writing and Editing",Digital Content Writer,"Have you heard of ""snackable"" content? That is what the digital world demands today. The digital content writer creates ""snackable"" content for websites, digital campaigns and social media. You can exploit your creative, storytelling, communication  and  research skills. You develop content for multiple clients across industries and  get exposed to different topics.    So, if you are looking for a...",No salary provided
52,Theron International,"Bengaluru Area, India",Information Technology and Services,Principle Engineer / Senior Technical Architect – Product Engineering & Innovation,"You are a talented, energetic, and creative Principal Software Engineer with proven architecture, design, implementation and technology leadership skills in web based enterprise grade, high availability and high scalability applications. This highly technical leader will be responsible for the architecture and development of key functional areas of Applications, to ensure the system effectively de...",No salary provided
53,SingleContact,"Bengaluru Area, India",Internet,Web Designer,"SingleContactapp.com is a free website creation software. Our web-based software enables businesses to establish online presence easily and quickly. Currently, SingleContact is hiring a website designer/developer. Below are more details: Principal Responsibilities: Creates new website and webpage designs, with a focus on best in class design. Maintains and modifies existing website designs. Assume...",No salary provided
54,Prayag Consulting,"Bengaluru Area, India","Marketing and Advertising, Writing and Editing",Digital Content Writer,"Have you heard of ""snackable"" content? That is what the digital world demands today. The digital content writer creates ""snackable"" content for websites, digital campaigns and social media. You can exploit your creative, storytelling, communication  and  research skills. You develop content for multiple clients across industries and  get exposed to different topics.    So, if you are looking for a...",No salary provided
55,Watchy technology pvt ltd.,"Bengaluru Area, India",Computer Hardware,Embedded Software Engineer,"Evaluating processors &amp; controllers for upcoming products Responsible for adding Battery support to existing and new products. Securing applications on Embedded device Work on IOT nodes and Gateways Prototype products using new chipset Wild card Entry More love would be given to your resume, if you add details about your activities in the following. FOSS &gt; Github, Source forge, … Q&amp;A fo...",No salary provided
56,LeadGrab,"Bengaluru Area, India",Internet,Web Developer,"We are looking to hire Rock Star web developers with front-end and back-end experience.  Experience and knowledge in PHP, Java, MySQL. The ideal candidate is technology savvy, innovative, and can think outside the box.  We are experiencing exponential growth and need some help.  Be a part of a growing, fun, and creative team.   ...",No salary provided
57,"Cloud Lending, Inc. (Formerly MFiFlex)","Bengaluru Area, India",Information Technology and Services,Product Support Engineer,"Cloud Lending is the industry’s only end-to-end cloud lending solution that is fully integrated with Salesforce.com. We enable lending and leasing providers to efficiently manage loan portfolios, increase transaction volume and rapidly bring new products to market through cloud based applications. As a member of the Customer Success team, you will leverage advanced technical expertise to resolving...",No salary provided
58,Cognitree,"Bengaluru Area, India",Information Technology and Services,Software Engineer,"What we look for in an employee   Irrespective of the quantum of prior experience of candidates, we have certain expectations: Team player - Work in tandem with the other members of the team with focus on delivery. Promote a culture of healthy competition and strive for the growth of each member of the team. Perceive priorities - Keep the current status and priorities in mind while taking decision...",No salary provided
59,Veda Semantics,"Bengaluru Area, India",Information Technology and Services,Java Developer,We are looking for core Java programmers with around 2 years of experience who also understand Perl programming. The candidate will be working for a cutting edge semantic technology company which focusses on text analytics technologies such as Natural Language Processing and Machine Learning. The candidate will be responsible for developing core NLP algorithms in Java using existing Perl code. The...,No salary provided
60,LeadGrab,"Bengaluru Area, India",Internet,Web Developer,"We are looking to hire Rock Star web developers with front-end and back-end experience.  Experience and knowledge in PHP, Java, MySQL. The ideal candidate is technology savvy, innovative, and can think outside the box.  We are experiencing exponential growth and need some help.  Be a part of a growing, fun, and creative team.   ...",No salary provided
61,"Cloud Lending, Inc. (Formerly MFiFlex)","Bengaluru Area, India",Information Technology and Services,Product Support Engineer,"Cloud Lending is the industry’s only end-to-end cloud lending solution that is fully integrated with Salesforce.com. We enable lending and leasing providers to efficiently manage loan portfolios, increase transaction volume and rapidly bring new products to market through cloud based applications. As a member of the Customer Success team, you will leverage advanced technical expertise to resolving...",No salary provided
62,Cognitree,"Bengaluru Area, India",Information Technology and Services,Software Engineer,"What we look for in an employee   Irrespective of the quantum of prior experience of candidates, we have certain expectations: Team player - Work in tandem with the other members of the team with focus on delivery. Promote a culture of healthy competition and strive for the growth of each member of the team. Perceive priorities - Keep the current status and priorities in mind while taking decision...",No salary provided
63,Veda Semantics,"Bengaluru Area, India",Information Technology and Services,Java Developer,We are looking for core Java programmers with around 2 years of experience who also understand Perl programming. The candidate will be working for a cutting edge semantic technology company which focusses on text analytics technologies such as Natural Language Processing and Machine Learning. The candidate will be responsible for developing core NLP algorithms in Java using existing Perl code. The...,No salary provided
64,"Cloud Lending, Inc. (Formerly MFiFlex)","Bengaluru Area, India",Information Technology and Services,Web Developer,"We are looking for a web developer who is experienced in programming web applications - JSP, Ruby, Python, Struts etc   Candidate must have a strong understanding of UI, cross-browser compatibility, general web functions and standards. Deep expertise and hands on experience with Web Applications and programming languages such as HTML, CSS, JavaScript, JQuery and API's. Deep functional knowledge or...",No salary provided
65,HealthPlus Ventures Private Limited,"Bengaluru Area, India",Computer Software,Software Engineer,"We are excited to find someone passionate about Programming Startups We are building a health care portal at http://MakeMeOk.com. The healthcare portal is built using ASP.NET MVC, MySQL, ElasticSearch, AWS, C#, Javascript. We are looking for software engineers who understand the technology stack and build breath-taking software for the web. We are also building hybrid apps using Cordova, AngularJS...",No salary provided
66,People Realm Recruitment Services Private Limited,"Bengaluru Area, India","Security and Investigations, Commercial Real Estate, Construction",Vice President - Building Security System Specialist,"We are hiring a senior level role for a global MNC based out of Bangalore. My client is in the process of constructing a campus in Bangalore, which is going to be a one of its kind and one of the largest in India. The new campus will be built in accordance to global standards and we are looking for someone who will come in at a VP level who will part of this new campus project from a security syst...",No salary provided
67,ZapStitch,"Bengaluru Area, India","Information Technology and Services, Computer Software",Content Specialist,"The Opportunity: We are looking for a Senior Content Marketing Associate who will own content planning, creation, and distribution at ZapStitch. In this role, you would produce highly engaging and relevant content to help us drive thought leadership, build our brand, generate leads and grow our subscriber base.  You will be at the core of our  content marketing strategy and will help implement a v...",No salary provided
68,"Cloud Lending, Inc. (Formerly MFiFlex)","Bengaluru Area, India",Information Technology and Services,Web Developer,"We are looking for a web developer who is experienced in programming web applications - JSP, Ruby, Python, Struts etc   Candidate must have a strong understanding of UI, cross-browser compatibility, general web functions and standards. Deep expertise and hands on experience with Web Applications and programming languages such as HTML, CSS, JavaScript, JQuery and API's. Deep functional knowledge or...",No salary provided
69,HealthPlus Ventures Private Limited,"Bengaluru Area, India",Computer Software,Software Engineer,"We are excited to find someone passionate about Programming Startups We are building a health care portal at http://MakeMeOk.com. The healthcare portal is built using ASP.NET MVC, MySQL, ElasticSearch, AWS, C#, Javascript. We are looking for software engineers who understand the technology stack and build breath-taking software for the web. We are also building hybrid apps using Cordova, AngularJS...",No salary provided
70,People Realm Recruitment Services Private Limited,"Bengaluru Area, India","Security and Investigations, Commercial Real Estate, Construction",Vice President - Building Security System Specialist,"We are hiring a senior level role for a global MNC based out of Bangalore. My client is in the process of constructing a campus in Bangalore, which is going to be a one of its kind and one of the largest in India. The new campus will be built in accordance to global standards and we are looking for someone who will come in at a VP level who will part of this new campus project from a security syst...",No salary provided
71,ZapStitch,"Bengaluru Area, India","Information Technology and Services, Computer Software",Content Specialist,"The Opportunity: We are looking for a Senior Content Marketing Associate who will own content planning, creation, and distribution at ZapStitch. In this role, you would produce highly engaging and relevant content to help us drive thought leadership, build our brand, generate leads and grow our subscriber base.  You will be at the core of our  content marketing strategy and will help implement a v...",No salary provided
72,Wisden India,"Bengaluru Area, India","Internet, Publishing",Server Administrator,Cloud Enablement : 1) Basic On-boarding Infrastructure Monitoring :   1) 24x7 Availability Monitoring    2) Minimum Uptime SLA - 99.9% Backup Management :  1) Backup Automation   2) Backup Frequency - Daily/Twice a Day/Weekly  3) Restore Requests -5/month  4) Backup Retention - 24 months  5) Recovery Drills - Quarterly Incident Management :  1) Response Time - 30 mins/1 Hours  for critical issues...,No salary provided
73,Winfort,"Bengaluru Area, India","Banking, Financial Services, Management Consulting",VP/ AVP Credit Risk Analytics,"The Analytics team is responsible for developing integrated strategies on risk and marketing, providing business inferences, supporting the modeling \ forecasting needs and management information reporting. The work would primarily involve the use of customer \ operational data and application of statistical tools and techniques. The incumbent candidate needs to have significant experience of deve...",No salary provided
74,Riptide IO,"Bengaluru Area, India",Computer Software,Javascript Developer,"We are looking for a frontend engineer. This opening is for entry-, mid- and expert- level Javascript developers. If you think you're good at Javascript, please apply! The following are our expectations:  Excellent experience in Javascript; Particularly AngularJS. Good knowledge of other Javascript frameworks like JQuery, Node, Backbone, Ember, etc is definitely a plus! Good knowledge on CSS, less...",No salary provided
75,"MineWhat, Inc","Bengaluru Area, India",Computer Software,Product Marketing Associate / Content Writer,"We are a well funded, thriving young startup with a product we think is amazing and will help change the way people buy online. We are looking for a passionate Content and Marketing Intern/Associate who will help expand our reach globally. We are based out of the US and have a development office in Bangalore. This position is for our Bangalore office. Responsibilities Creating informative, engagin...",No salary provided
76,Wisden India,"Bengaluru Area, India","Internet, Publishing",Server Administrator,Cloud Enablement : 1) Basic On-boarding Infrastructure Monitoring :   1) 24x7 Availability Monitoring    2) Minimum Uptime SLA - 99.9% Backup Management :  1) Backup Automation   2) Backup Frequency - Daily/Twice a Day/Weekly  3) Restore Requests -5/month  4) Backup Retention - 24 months  5) Recovery Drills - Quarterly Incident Management :  1) Response Time - 30 mins/1 Hours  for critical issues...,No salary provided
77,Winfort,"Bengaluru Area, India","Banking, Financial Services, Management Consulting",VP/ AVP Credit Risk Analytics,"The Analytics team is responsible for developing integrated strategies on risk and marketing, providing business inferences, supporting the modeling \ forecasting needs and management information reporting. The work would primarily involve the use of customer \ operational data and application of statistical tools and techniques. The incumbent candidate needs to have significant experience of deve...",No salary provided
78,Riptide IO,"Bengaluru Area, India",Computer Software,Javascript Developer,"We are looking for a frontend engineer. This opening is for entry-, mid- and expert- level Javascript developers. If you think you're good at Javascript, please apply! The following are our expectations:  Excellent experience in Javascript; Particularly AngularJS. Good knowledge of other Javascript frameworks like JQuery, Node, Backbone, Ember, etc is definitely a plus! Good knowledge on CSS, less...",No salary provided
79,"MineWhat, Inc","Bengaluru Area, India",Computer Software,Product Marketing Associate / Content Writer,"We are a well funded, thriving young startup with a product we think is amazing and will help change the way people buy online. We are looking for a passionate Content and Marketing Intern/Associate who will help expand our reach globally. We are based out of the US and have a development office in Bangalore. This position is for our Bangalore office. Responsibilities Creating informative, engagin...",No salary provided
